,label,text,text_clean,Soeken M,Choi C,Ejlali A,D'angelo G,Anand K,Miller B,Niu X,Chou PH,Hu W,Plessl C,Lantz V,Rodríguez ND,Wang Z,West R,Fei Y,Abouelella F,Kaldeli E,Santinelli L,Misler M,Bacivarov I,Park KJ,Guntur S,Velickovic N,Wu T,Vitek J,Root M,Hawkins W,Hsiung PA,Curley E,Kostakos V,Bueno D,Mu J,Ishizaka K,Trummer R,Vandeputte F,Deng Q,Meratnia N,Patti D,Coulson G,Dash A,Penserini L,Hoke S,Chang E,Nahrstedt K,Seviora RE,Steenkiste P,Whalley DB,Hattangady S,Ykman-Couvreur C,Aldini A,Xiang H,Karellas A,Dong H,Rocca P,Oliveri G,Hu RQ,Ghayvat H,Gui X,Alkar AZ,Chiavedale C,Pedrasa MA,Jae Chul Moon,Al-Rousan M,Kundur D,Cabrer MR,Bjelica MZ,Lopes RD,Arni J,Santos-Perez M,Chang CK,Tan F,Bu L,Clapperton G,Kwon WH,Galloway S,Marusic S,Hwang Z,Seungho Baek,Perera C,Horiike Y,Faulkner R,Newsome J,Qiao C,Aghajan H,Bose S,Rungger M,Sheng W,Liang X,Guo T,O'Connor NE,Yin Y,Lee W,Billis AS,Skoldström P,Palazzi CE,Huh J,Wendorf RG,Boger J,Chon Y,Youbing Zhang,Mitchell R,Cavdar IH,Chow M,Caraiscos C,Harrison MD,Hüssy J,Mateias C,Nicolescu A,Lien SY,Treur J,Rialle V,Vlahavas I,Paola A,Gu M,Sonntag C,Rodríguez-Covili J,Peoble L,Sánchez-Venzalá JI,Munaro M,Chuang SN,Roussaki I,Fricke R,Becker C,Lewis D,Stevens T,publication_date_2003,publication_date_2007
0,0,"Embedding of Large Boolean Functions for Reversible Logic [] Boolean functions, Reversible logic, embedding",embedding of large boolean functions for reversible logic boolean functions reversible logic embedding,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1,0,"Scalable Global Power Management Policy Based on Combinatorial Optimization for Multiprocessors [] Combinatorial optimization, DVFS, multiprocessor systems",scalable global power management policy based on combinatorial optimization for multiprocessors combinatorial optimization dvfs multiprocessor systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,0,"Security-Aware Design Methodology and Optimization for Automotive Systems [] Methodology, automotive systems, controller area network, cyber-physical systems, dedicated short-range communication, mapping, time division multiple access, time-triggered ethernet",security aware design methodology and optimization for automotive systems methodology automotive systems controller area network cyber physical systems dedicated short range communication mapping time division multiple access time triggered ethernet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,0,"Program-Invariant Checking for Soft-Error Detection Using Reconfigurable Hardware [] FPGA, Processor architecture",program invariant checking for soft error detection using reconfigurable hardware fpga processor architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,0,"Runtime Monitoring of Cyber-Physical Systems Under Timing and Memory Constraints [] Runtime monitoring, cyber-physical systems, resource efficiency",runtime monitoring of cyber physical systems under timing and memory constraints runtime monitoring cyber physical systems resource efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,0,"Analyzing Event-Based Scheduling in Concurrent Reactive Systems [] Scheduling, concurrent reactive systems, correctness, priority",analyzing event based scheduling in concurrent reactive systems scheduling concurrent reactive systems correctness priority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,0,"Architecture-Aware Real-Time Compression of Execution Traces [] Software debugging, branch prediction, trace compression, trace generation",architecture aware real time compression of execution traces software debugging branch prediction trace compression trace generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,0,"Component-Based Synthesis of Embedded Systems Using Satisfiability Modulo Theories [] Embedded systems, components, design space exploration, modeling, satisfiability modulo theory, systems specification methodology",component based synthesis of embedded systems using satisfiability modulo theories embedded systems components design space exploration modeling satisfiability modulo theory systems specification methodology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,0,"Implementing an Application-Specific Instruction-Set Processor for System-Level Dynamic Program Analysis Engines [] Dynamic program analysis (DPA), application-specific instruction-set processor (ASIP), dynamic information flow tracking (DIFT), system-level analysis hardware",implementing an application specific instruction set processor for system level dynamic program analysis engines dynamic program analysis dpa application specific instruction set processor asip dynamic information flow tracking dift system level analysis hardware,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
9,0,"RIFFA 2.1: A Reusable Integration Framework for FPGA Accelerators [] FPGA, communication, framework, integration, synchronization",riffa 2 1 a reusable integration framework for fpga accelerators fpga communication framework integration synchronization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
