,label,text,text_clean,Lings B,Czarnecki K,Vallespir B,Valderas P,Pelechano V,Becker M,Delange J,Garefalakis P,Papaioannou A,Hebig R,Bandara AK,Gérard S,Hoefler T,Tomaskovic-Crook E,Gameroff MJ,Lamboy B,Balasubramani GK,Martin J,McNamara RK,Chaudhry HR,Angst J,Alonso D,Carta MG,Moro MF,Chen JH,Spijker J,Fricker-Elhai A,Melartin T,Mak AD,Slade T,Briffault X,Mitchell D,Aguglia E,Drago F,Brown R,Mokhtari M,Seretti ME,Weiss MG,Jasvindar K,Vimont A,Kedzior KK,Roncone R,Saarni S,Strehle J,Mak A,Gureje O,Rojas-Farreras S,van der Feltz-Cornelis CM,Abrantes AM,Foll BL,DiCola LA,Schene AH,Köhler CA,Kulkarni J,Hiçsönmez A,Heller DC,Knöchel C,Deckersbach T,Garre-Olmo J,Hashizume M,Parviainen P,Garredu S,Nguyen T,Brown AW,Ping H,Boton C,Jiang Haoxiang,Lamancha BP,Daun M,Li Y,Hninn Mar Aung,Tian R,Hahn C,Jiménez Á,Nakagawa EY,Molina F,Loniewski G,Marin B,Fernández-Saez AM,Pérez B,publication_date_2001
0,0,"Model Driven Development: The Case for Domain Oriented Programming In this paper, we offer an alternative vision for domain driven development (3D). Our approach is model driven and emphasizes the use of generic and specific domain oriented programming (DOP) languages. DOP uses strong specific languages, which directly incorporate domain abstractions, to allow knowledgeable end users to succinctly express their needs in the form of an application computation. Most domain driven development (3D) approaches and techniques are targeted at professional software engineers and computer scientists. We argue that DOP offers a promising alternative. Specifically we are focused on empowering application developers who have extensive domain knowledge as well as sound foundations in their professions, but may not be formally trained in computer science.We provide a brief survey of DOP experiences, which show that many of the best practices such as patterns, refactoring, and pair programming are naturally and ideally practiced in a Model Driven Development (MDD) setting. We compare and contrast our DOP with other popular approaches, most of which are deeply rooted in the OO community.Finally we highlight challenges and opportunities in the design and implementation of such languages. domain driven development, domain specific languages, end user programming, model driven development, programming by professional end users",model driven development the case for domain oriented programming in this paper we offer an alternative vision for domain driven development 3d our approach is model driven and emphasizes the use of generic and specific domain oriented programming dop languages dop uses strong specific languages which directly incorporate domain abstractions to allow knowledgeable end users to succinctly express their needs in the form of an application computation most domain driven development 3d approaches and techniques are targeted at professional software engineers and computer scientists we argue that dop offers a promising alternative specifically we are focused on empowering application developers who have extensive domain knowledge as well as sound foundations in their professions but may not be formally trained in computer science we provide a brief survey of dop experiences which show that many of the best practices such as patterns refactoring and pair programming are naturally and ideally practiced in a model driven development mdd setting we compare and contrast our dop with other popular approaches most of which are deeply rooted in the oo community finally we highlight challenges and opportunities in the design and implementation of such languages domain driven development domain specific languages end user programming model driven development programming by professional end users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,"Model-Driven Safety Evaluation with State-event-based Component Failure Annotations Over the past years, the paradigm of component-based software engineering has been established in the construction of complex mission-critical systems. Due to this trend, there is a practical need for techniques that evaluate critical properties (such as safety, reliability, availability or performance) of these systems. In this paper, we review several high-level techniques for the evaluation of safety properties for component-based systems and we propose a new evaluation model (State Event Fault Trees) that extends safety analysis towards a lower abstraction level. This model possesses a state-event semantics and strong encapsulation, which is especially useful for the evaluation of component-based software systems. Finally, we compare the techniques and give suggestions for their combined usage. Output Port , Safety Analysis , Fault Tree , Fault Tree Analysis , Fault Tree Analysis",model driven safety evaluation with state event based component failure annotations over the past years the paradigm of component based software engineering has been established in the construction of complex mission critical systems due to this trend there is a practical need for techniques that evaluate critical properties such as safety reliability availability or performance of these systems in this paper we review several high level techniques for the evaluation of safety properties for component based systems and we propose a new evaluation model state event fault trees that extends safety analysis towards a lower abstraction level this model possesses a state event semantics and strong encapsulation which is especially useful for the evaluation of component based software systems finally we compare the techniques and give suggestions for their combined usage output port safety analysis fault tree fault tree analysis fault tree analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,0,"Model-driven Design and Deployment of Service-enabled Web Applications Significant effort is currently invested in application integration, enabling business processes of different companies to interact and form complex multiparty processes. Web service standards, based on WSDL (Web Service Definition Language), have been adopted as process-to-process communication paradigms. However, the conceptual modeling of applications using Web services has not yet been addressed. Interaction with Web services is often specified at the level of the source code; thus, Web service interfaces are buried within a programmatic specification.In this article, we argue that Web services should be considered first-class citizens in the specification of Web applications. Thus, service-enabled Web applications should benefit from the high-level modeling and automatic code generation techniques that have long been advocated for Web application design and implementation. To this end, we extend a declarative model for specifying data-intensive Web applications in two directions: (i) high-level modeling of Web services and their interactions with the Web applications which use them, and (ii) modeling and specification of Web applications implementing new, complex Web services.Our approach is fully implemented within a CASE tool allowing the high-level modeling and automatic deployment of service-enabled Web applications. UML, Web application, Web services, WebML, modeling",model driven design and deployment of service enabled web applications significant effort is currently invested in application integration enabling business processes of different companies to interact and form complex multiparty processes web service standards based on wsdl web service definition language have been adopted as process to process communication paradigms however the conceptual modeling of applications using web services has not yet been addressed interaction with web services is often specified at the level of the source code thus web service interfaces are buried within a programmatic specification in this article we argue that web services should be considered first class citizens in the specification of web applications thus service enabled web applications should benefit from the high level modeling and automatic code generation techniques that have long been advocated for web application design and implementation to this end we extend a declarative model for specifying data intensive web applications in two directions i high level modeling of web services and their interactions with the web applications which use them and ii modeling and specification of web applications implementing new complex web services our approach is fully implemented within a case tool allowing the high level modeling and automatic deployment of service enabled web applications uml web application web services webml modeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,0,"When and How to Develop Domain-specific Languages Domain-specific languages (DSLs) are languages tailored to a specific application domain. They offer substantial gains in expressiveness and ease of use compared with general-purpose programming languages in their domain of application. DSL development is hard, requiring both domain knowledge and language development expertise. Few people have both. Not surprisingly, the decision to develop a DSL is often postponed indefinitely, if considered at all, and most DSLs never get beyond the application library stage.Although many articles have been written on the development of particular DSLs, there is very limited literature on DSL development methodologies and many questions remain regarding when and how to develop a DSL. To aid the DSL developer, we identify patterns in the decision, analysis, design, and implementation phases of DSL development. Our patterns improve and extend earlier work on DSL design patterns. We also discuss domain analysis tools and language development systems that may help to speed up DSL development. Finally, we present a number of open problems. Domain-specific language, application language, domain analysis, language development system",when and how to develop domain specific languages domain specific languages dsls are languages tailored to a specific application domain they offer substantial gains in expressiveness and ease of use compared with general purpose programming languages in their domain of application dsl development is hard requiring both domain knowledge and language development expertise few people have both not surprisingly the decision to develop a dsl is often postponed indefinitely if considered at all and most dsls never get beyond the application library stage although many articles have been written on the development of particular dsls there is very limited literature on dsl development methodologies and many questions remain regarding when and how to develop a dsl to aid the dsl developer we identify patterns in the decision analysis design and implementation phases of dsl development our patterns improve and extend earlier work on dsl design patterns we also discuss domain analysis tools and language development systems that may help to speed up dsl development finally we present a number of open problems domain specific language application language domain analysis language development system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,0,"A Comparative Survey of Scenario-based to State-based Model Synthesis Approaches Model Driven Development and Use Case Driven Development methodologies have inspired the proposal of a variety of software engineering approaches that synthesize state-based models from scenario-based models. However, little work has been done to comprehensively compare these different synthesis approaches. In this paper, we define a set of comparison criteria, and survey 21 different synthesis approaches presented in the literature based on the criteria. The differences and similarities are highlighted in the comparison results. We then discuss the challenges that current approaches may face and provide suggestions for future work for state-based model syntheses. MSC, SDL, UML, model, petri nets, scenario, state machines, synthesis",a comparative survey of scenario based to state based model synthesis approaches model driven development and use case driven development methodologies have inspired the proposal of a variety of software engineering approaches that synthesize state based models from scenario based models however little work has been done to comprehensively compare these different synthesis approaches in this paper we define a set of comparison criteria and survey 21 different synthesis approaches presented in the literature based on the criteria the differences and similarities are highlighted in the comparison results we then discuss the challenges that current approaches may face and provide suggestions for future work for state based model syntheses msc sdl uml model petri nets scenario state machines synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,0,"Ten Top Reasons for Systems Biology to Get into Model-driven Engineering Recent progresses in post-genomic biology allow addressing issues at the system level through the coupling of experimental and modeling approaches that constitute the core of Systems Biology (SB). The challenge for researchers is to integrate disparate data into models to infer useful biological knowledge. Problems which are questioning Model-Driven Engineering (MDE) deal with complexity, systems modeling (including modularity and structure/behavior relationships), models networking and integration, domain-specific language, etc. Among these issues, ten arguments are presented to consider the conceptual convergence and cross-fertilization of SB with MDE. Current models in SB are reviewed and the main requirements to conduct models integration are identified. Some perspectives are provided towards the translation of high-level SB descriptions into formal languages for performing static and dynamic analyses. UML, bioambients, complex systems, systems biology",ten top reasons for systems biology to get into model driven engineering recent progresses in post genomic biology allow addressing issues at the system level through the coupling of experimental and modeling approaches that constitute the core of systems biology sb the challenge for researchers is to integrate disparate data into models to infer useful biological knowledge problems which are questioning model driven engineering mde deal with complexity systems modeling including modularity and structure behavior relationships models networking and integration domain specific language etc among these issues ten arguments are presented to consider the conceptual convergence and cross fertilization of sb with mde current models in sb are reviewed and the main requirements to conduct models integration are identified some perspectives are provided towards the translation of high level sb descriptions into formal languages for performing static and dynamic analyses uml bioambients complex systems systems biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,0,"Uses and Abuses of the Stereotype Mechanism in UML 1.X and 2.0 Stereotypes were introduced into the UML in order to offer extensibility to the basic metamodel structure by the user and without actually modifying the metamodel. In UML version 1.x, this was accomplished by means of permitting virtual subtyping in the metamodel. However, this facility led many to misuse stereotypes, particularly in places where regular domain-level modelling would be more appropriate. In version 2.0 of the UML, the portion of the metamodel pertaining to stereotypes was drastically revised. The resulting mechanism is reviewed here and compared with that of version 1.x. From a set theory point of view, the new (2.0) metamodel is unfortunately untenable and the examples used in the OMG documentation unconvincing. This paper outlines the issues and suggests some possible steps to improve the UML 2.0 stereotype theory and practice. Secondary Classification,  Class Interface,  Direct Instance , Enterprise Distribute Object Computing ,  Stereotype Theory",uses and abuses of the stereotype mechanism in uml 1 x and 2 0 stereotypes were introduced into the uml in order to offer extensibility to the basic metamodel structure by the user and without actually modifying the metamodel in uml version 1 x this was accomplished by means of permitting virtual subtyping in the metamodel however this facility led many to misuse stereotypes particularly in places where regular domain level modelling would be more appropriate in version 2 0 of the uml the portion of the metamodel pertaining to stereotypes was drastically revised the resulting mechanism is reviewed here and compared with that of version 1 x from a set theory point of view the new 2 0 metamodel is unfortunately untenable and the examples used in the omg documentation unconvincing this paper outlines the issues and suggests some possible steps to improve the uml 2 0 stereotype theory and practice secondary classification class interface direct instance enterprise distribute object computing stereotype theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,0,"Applying Model-Driven Development to Pervasive System Engineering This paper provides an overview of model-driven software development methodologies and argues that they are well-suited for the purpose of pervasive software development. It also surveys some of the most notable model-driven pervasive software development frameworks that are available, including one of our own. []",applying model driven development to pervasive system engineering this paper provides an overview of model driven software development methodologies and argues that they are well suited for the purpose of pervasive software development it also surveys some of the most notable model driven pervasive software development frameworks that are available including one of our own,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,0,"Experiences from Representing Software Architecture in a Large Industrial Project Using Model Driven Development A basic idea of model driven development (MDD) is to capture all important design information in a set of formal or semi formal models that are automatically kept consistent by tools. This paper reports on industrial experience from use of MDD and shows that the approach needs improvements regarding the architecture since there are no suggested ways to formalize design rules which are an important part of the architecture. Instead, one has to rely on time consuming and error prone manual interpretations, reviews and reworkings to keep the system consistent with the architecture. To reap the full benefits of MDD it is therefore important to find ways of formalizing design rules to make it possible to allow automatic enforcement of the architecture on the system model. []",experiences from representing software architecture in a large industrial project using model driven development a basic idea of model driven development mdd is to capture all important design information in a set of formal or semi formal models that are automatically kept consistent by tools this paper reports on industrial experience from use of mdd and shows that the approach needs improvements regarding the architecture since there are no suggested ways to formalize design rules which are an important part of the architecture instead one has to rely on time consuming and error prone manual interpretations reviews and reworkings to keep the system consistent with the architecture to reap the full benefits of mdd it is therefore important to find ways of formalizing design rules to make it possible to allow automatic enforcement of the architecture on the system model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,0,"Semantic Frameworks for e-Government This paper explains how semantic frameworks can be used to support successful e-Government initiatives by connecting system design to a shared understanding of interactions and processes. It shows how metadata standards and repositories can be used to establish and maintain such an understanding, and how they can be used in the automatic generation and instantiation of components and services. It includes an account of a successful implementation at an international level, and a brief review of related approaches. metadata, model-driven, ontology, semantic web",semantic frameworks for e government this paper explains how semantic frameworks can be used to support successful e government initiatives by connecting system design to a shared understanding of interactions and processes it shows how metadata standards and repositories can be used to establish and maintain such an understanding and how they can be used in the automatic generation and instantiation of components and services it includes an account of a successful implementation at an international level and a brief review of related approaches metadata model driven ontology semantic web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
